#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABL1	STUB1	9606.ENSP00000361423	9606.ENSP00000219548	0	0	0	0	0	0.386	0	0.230	0.507
ABL1	GAPDH	9606.ENSP00000361423	9606.ENSP00000229239	0	0	0	0	0	0.084	0	0.482	0.505
ABL1	EP300	9606.ENSP00000361423	9606.ENSP00000263253	0	0	0	0	0.061	0.435	0	0.365	0.633
ABL1	PIK3CA	9606.ENSP00000361423	9606.ENSP00000263967	0	0	0	0	0.058	0.124	0	0.495	0.547
ABL1	STAT3	9606.ENSP00000361423	9606.ENSP00000264657	0	0	0	0	0	0.124	0	0.691	0.718
ABL1	TP53	9606.ENSP00000361423	9606.ENSP00000269305	0	0	0	0	0	0.384	0	0.819	0.884
ABL1	ATM	9606.ENSP00000361423	9606.ENSP00000278616	0	0	0	0	0	0.379	0.900	0.828	0.988
ABL1	IL3	9606.ENSP00000361423	9606.ENSP00000296870	0	0	0	0	0	0	0	0.642	0.642
ABL1	CASP3	9606.ENSP00000361423	9606.ENSP00000311032	0	0	0	0	0	0.064	0	0.511	0.522
ABL1	PRKD1	9606.ENSP00000361423	9606.ENSP00000333568	0	0	0	0.549	0	0.379	0	0.187	0.421
ABL1	HSP90AA1	9606.ENSP00000361423	9606.ENSP00000335153	0	0	0	0	0	0.473	0	0.500	0.725
ABL1	SNCA	9606.ENSP00000361423	9606.ENSP00000338345	0	0	0	0	0	0.472	0	0.298	0.613
ABL1	KAT5	9606.ENSP00000361423	9606.ENSP00000340330	0	0	0	0	0.061	0.299	0.900	0.578	0.968
ABL1	MTOR	9606.ENSP00000361423	9606.ENSP00000354558	0	0	0	0	0.086	0.432	0	0.422	0.674
ABL1	PARK2	9606.ENSP00000361423	9606.ENSP00000355865	0	0	0	0	0	0.472	0	0.299	0.614
ABL1	S100A8	9606.ENSP00000361423	9606.ENSP00000357722	0	0	0	0	0	0	0	0.581	0.581
ABL1	MCL1	9606.ENSP00000361423	9606.ENSP00000358022	0	0	0	0	0	0	0	0.705	0.705
