#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABL1	SIRT1	9606.ENSP00000361423	9606.ENSP00000212015	0	0	0	0	0	0	0	0.454	0.455
ABL1	STUB1	9606.ENSP00000361423	9606.ENSP00000219548	0	0	0	0	0	0.696	0	0.265	0.767
ABL1	GAPDH	9606.ENSP00000361423	9606.ENSP00000229239	0	0	0	0	0	0.065	0	0.474	0.487
ABL1	ATG14	9606.ENSP00000361423	9606.ENSP00000247178	0	0	0	0	0	0	0	0.450	0.450
ABL1	PIK3C3	9606.ENSP00000361423	9606.ENSP00000262039	0	0	0	0	0.062	0.104	0	0.654	0.684
ABL1	EP300	9606.ENSP00000361423	9606.ENSP00000263253	0	0	0	0	0.062	0.332	0	0.398	0.590
ABL1	PIK3CA	9606.ENSP00000361423	9606.ENSP00000263967	0	0	0	0	0.062	0.104	0	0.520	0.561
ABL1	STAT3	9606.ENSP00000361423	9606.ENSP00000264657	0	0	0	0	0	0.140	0	0.520	0.570
ABL1	TP53	9606.ENSP00000361423	9606.ENSP00000269305	0	0	0	0	0	0.470	0	0.981	0.990
ABL1	ATM	9606.ENSP00000361423	9606.ENSP00000278616	0	0	0	0	0	0.875	0.900	0.946	0.999
ABL1	IL3	9606.ENSP00000361423	9606.ENSP00000296870	0	0	0	0	0	0	0	0.631	0.631
ABL1	CASP3	9606.ENSP00000361423	9606.ENSP00000311032	0	0	0	0	0	0.063	0	0.507	0.518
ABL1	HSP90AA1	9606.ENSP00000361423	9606.ENSP00000335153	0	0	0	0	0	0.829	0	0.856	0.974
ABL1	SNCA	9606.ENSP00000361423	9606.ENSP00000338345	0	0	0	0	0	0.441	0	0.288	0.585
ABL1	KAT5	9606.ENSP00000361423	9606.ENSP00000340330	0	0	0	0	0.062	0.182	0	0.472	0.560
