#queryIndex	queryItem	stringId	preferredName	annotation
2	ABL1	9606.ENSP00000361423	ABL1	Tyrosine-protein kinase ABL1; Non-receptor tyrosine-protein kinase that plays a role in many key processes linked to cell growth and survival such as cytoskeleton remodeling in response to extracellular stimuli, cell motility and adhesion, receptor endocytosis, autophagy, DNA damage response and apoptosis. Coordinates actin remodeling through tyrosine phosphorylation of proteins controlling cytoskeleton dynamics like WASF3 (involved in branch formation); ANXA1 (involved in membrane anchoring); DBN1, DBNL, CTTN, RAPH1 and ENAH (involved in signaling); or MAPT and PXN (microtubule-bindin [...] 
3	ABL2	9606.ENSP00000427562	ABL2	Abelson tyrosine-protein kinase 2; Non-receptor tyrosine-protein kinase that plays an ABL1- overlapping role in key processes linked to cell growth and survival such as cytoskeleton remodeling in response to extracellular stimuli, cell motility and adhesion and receptor endocytosis. Coordinates actin remodeling through tyrosine phosphorylation of proteins controlling cytoskeleton dynamics like MYH10 (involved in movement); CTTN (involved in signaling); or TUBA1 and TUBB (microtubule subunits). Binds directly F-actin and regulates actin cytoskeletal structure through its F-actin- bundli [...] 
4	ACER2	9606.ENSP00000342609	ACER2	Alkaline ceramidase 2; Hydrolyzes the sphingolipid ceramide into sphingosine and free fatty acid. Unsaturated long-chain ceramides are the best substrates, saturated long-chain ceramides and unsaturated very long-chain ceramides are good substrates, whereas saturated very long-chain ceramides and short-chain ceramides were poor substrates. The substrate preference is D-erythro-C(18:1)-, C(20:1)-, C(20:4)-ceramide > D-erythro-C(16:0)-, C(18:0), C(20:0)- ceramide > D-erythro-C(24:1)-ceramide > D-erythro-C(12:0)- ceramide, D-erythro-C(14:0)-ceramides > D-erythro-C(24:0)-ceramide > D-eryth [...] 
5	AKT1	9606.ENSP00000451828	AKT1	RAC-alpha serine/threonine-protein kinase; AKT1 is one of 3 closely related serine/threonine- protein kinases (AKT1, AKT2 and AKT3) called the AKT kinase, and which regulate many processes including metabolism, proliferation, cell survival, growth and angiogenesis. This is mediated through serine and/or threonine phosphorylation of a range of downstream substrates. Over 100 substrate candidates have been reported so far, but for most of them, no isoform specificity has been reported. AKT is responsible of the regulation of glucose uptake by mediating insulin-induced translocation of th [...] 
6	ARFIP2	9606.ENSP00000484121	ARFIP2	Arfaptin-2; Putative target protein of ADP-ribosylation factor. Involved in membrane ruffling; Classical BAR domain containing
7	ARSB	9606.ENSP00000264914	ARSB	Arylsulfatase B; Removes sulfate groups from chondroitin-4-sulfate (C4S) and regulates its degradation. Involved in the regulation of cell adhesion, cell migration and invasion in colonic epithelium. In the central nervous system, is a regulator of neurite outgrowth and neuronal plasticity, acting through the control of sulfate glycosaminoglycans and neurocan levels (By similarity); Belongs to the sulfatase family
8	ATG10	9606.ENSP00000282185	ATG10	Ubiquitin-like-conjugating enzyme ATG10; E2-like enzyme involved in autophagy. Acts as an E2-like enzyme that catalyzes the conjugation of ATG12 to ATG5. ATG12 conjugation to ATG5 is required for autophagy. Likely serves as an ATG5-recognition molecule. Not involved in ATG12 conjugation to ATG3 (By similarity). Plays a role in adenovirus-mediated cell lysis; Belongs to the ATG10 family
9	ATG12	9606.ENSP00000425107	ATG12	Ubiquitin-like protein ATG12; Ubiquitin-like protein involved in autophagy vesicles formation. Conjugation with ATG5 through a ubiquitin-like conjugating system involving also ATG7 as an E1-like activating enzyme and ATG10 as an E2-like conjugating enzyme, is essential for its function. The ATG12-ATG5 conjugate acts as an E3-like enzyme which is required for lipidation of ATG8 family proteins and their association to the vesicle membranes
10	ATG13	9606.ENSP00000432412	ATG13	Autophagy-related protein 13; Autophagy factor required for autophagosome formation and mitophagy. Target of the TOR kinase signaling pathway that regulates autophagy through the control of the phosphorylation status of ATG13 and ULK1, and the regulation of the ATG13-ULK1- RB1CC1 complex. Through its regulation of ULK1 activity, plays a role in the regulation of the kinase activity of mTORC1 and cell proliferation
11	ATG14	9606.ENSP00000247178	ATG14	Beclin 1-associated autophagy-related key regulator; Required for both basal and inducible autophagy. Determines the localization of the autophagy-specific PI3-kinase complex PI3KC3-C1. Plays a role in autophagosome formation and MAP1LC3/LC3 conjugation to phosphatidylethanolamine. Promotes BECN1 translocation from the trans-Golgi network to autophagosomes. Enhances PIK3C3 activity in a BECN1-dependent manner. Essential for the autophagy-dependent phosphorylation of BECN1. Stimulates the phosphorylation of BECN1, but suppresses the phosphorylation PIK3C3 by AMPK. Binds to STX17-SNAP29  [...] 
